city,date,temperature,humidity,wind_speed
Sarajevo,2023-08-01,25.0,60.0,6.5
Mostar,2023-08-01,30.0,60.0,6.5
Sarajevo,2023-08-02,24.8,59.7,6.5
Mostar,2023-08-02,29.8,59.7,6.5
Sarajevo,2023-08-03,24.7,59.3,6.4
Mostar,2023-08-03,29.7,59.3,6.4
Sarajevo,2023-08-04,24.5,59.0,6.3
Mostar,2023-08-04,29.5,59.0,6.3
Sarajevo,2023-08-05,24.3,58.7,6.3
Mostar,2023-08-05,29.3,58.7,6.3
Sarajevo,2023-08-06,24.2,58.3,6.2
Mostar,2023-08-06,29.2,58.3,6.2
Sarajevo,2023-08-07,24.0,58.0,6.2
Mostar,2023-08-07,29.0,58.0,6.2
Sarajevo,2023-08-08,23.8,57.7,6.2
Mostar,2023-08-08,28.8,57.7,6.2
Sarajevo,2023-08-09,23.7,57.3,6.1
Mostar,2023-08-09,28.7,57.3,6.1
Sarajevo,2023-08-10,23.5,57.0,6.0
Mostar,2023-08-10,28.5,57.0,6.0
Sarajevo,2023-08-11,23.3,56.7,6.0
Mostar,2023-08-11,28.3,56.7,6.0
Sarajevo,2023-08-12,23.2,56.3,6.0
Mostar,2023-08-12,28.2,56.3,6.0
Sarajevo,2023-08-13,23.0,56.0,5.9
Mostar,2023-08-13,28.0,56.0,5.9
Sarajevo,2023-08-14,22.8,55.7,5.8
Mostar,2023-08-14,27.8,55.7,5.8
Sarajevo,2023-08-15,22.7,55.3,5.8
Mostar,2023-08-15,27.7,55.3,5.8
Sarajevo,2023-08-16,22.5,55.0,5.8
Mostar,2023-08-16,27.5,55.0,5.8
Sarajevo,2023-08-17,22.3,54.7,5.7
Mostar,2023-08-17,27.3,54.7,5.7
Sarajevo,2023-08-18,22.2,54.3,5.7
Mostar,2023-08-18,27.2,54.3,5.7
Sarajevo,2023-08-19,22.0,54.0,5.6
Mostar,2023-08-19,27.0,54.0,5.6
Sarajevo,2023-08-20,21.8,53.7,5.5
Mostar,2023-08-20,26.8,53.7,5.5
Sarajevo,2023-08-21,21.7,53.3,5.5
Mostar,2023-08-21,26.7,53.3,5.5
Sarajevo,2023-08-22,21.5,53.0,5.5
Mostar,2023-08-22,26.5,53.0,5.5
Sarajevo,2023-08-23,21.3,52.7,5.4
Mostar,2023-08-23,26.3,52.7,5.4
Sarajevo,2023-08-24,21.2,52.3,5.3
Mostar,2023-08-24,26.2,52.3,5.3
Sarajevo,2023-08-25,21.0,52.0,5.3
Mostar,2023-08-25,26.0,52.0,5.3
Sarajevo,2023-08-26,20.8,51.7,5.2
Mostar,2023-08-26,25.8,51.7,5.2
Sarajevo,2023-08-27,20.7,51.3,5.2
Mostar,2023-08-27,25.7,51.3,5.2
Sarajevo,2023-08-28,20.5,51.0,5.2
Mostar,2023-08-28,25.5,51.0,5.2
Sarajevo,2023-08-29,20.3,50.7,5.1
Mostar,2023-08-29,25.3,50.7,5.1
Sarajevo,2023-08-30,20.2,50.3,5.0
Mostar,2023-08-30,25.2,50.3,5.0
Sarajevo,2023-08-31,20.0,50.0,5.0
Mostar,2023-08-31,25.0,50.0,5.0
Sarajevo,2023-09-01,19.8,49.7,5.0
Mostar,2023-09-01,24.8,49.7,5.0
Sarajevo,2023-09-02,19.7,49.3,4.9
Mostar,2023-09-02,24.7,49.3,4.9
Sarajevo,2023-09-03,19.5,49.0,4.8
Mostar,2023-09-03,24.5,49.0,4.8
Sarajevo,2023-09-04,19.3,48.7,4.8
Mostar,2023-09-04,24.3,48.7,4.8
Sarajevo,2023-09-05,19.2,48.3,4.8
Mostar,2023-09-05,24.2,48.3,4.8
Sarajevo,2023-09-06,19.0,48.0,4.7
Mostar,2023-09-06,24.0,48.0,4.7
Sarajevo,2023-09-07,18.8,47.7,4.7
Mostar,2023-09-07,23.8,47.7,4.7
Sarajevo,2023-09-08,18.7,47.3,4.6
Mostar,2023-09-08,23.7,47.3,4.6
Sarajevo,2023-09-09,18.5,47.0,4.5
Mostar,2023-09-09,23.5,47.0,4.5
Sarajevo,2023-09-10,18.3,46.7,4.5
Mostar,2023-09-10,23.3,46.7,4.5
Sarajevo,2023-09-11,18.2,46.3,4.5
Mostar,2023-09-11,23.2,46.3,4.5
Sarajevo,2023-09-12,18.0,46.0,4.4
Mostar,2023-09-12,23.0,46.0,4.4
Sarajevo,2023-09-13,17.8,45.7,4.3
Mostar,2023-09-13,22.8,45.7,4.3
Sarajevo,2023-09-14,17.7,45.3,4.3
Mostar,2023-09-14,22.7,45.3,4.3
Sarajevo,2023-09-15,17.5,45.0,4.2
Mostar,2023-09-15,22.5,45.0,4.2
Sarajevo,2023-09-16,17.3,44.7,4.2
Mostar,2023-09-16,22.3,44.7,4.2
Sarajevo,2023-09-17,17.2,44.3,4.2
Mostar,2023-09-17,22.2,44.3,4.2
Sarajevo,2023-09-18,17.0,44.0,4.1
Mostar,2023-09-18,22.0,44.0,4.1
Sarajevo,2023-09-19,16.8,43.7,4.0
Mostar,2023-09-19,21.8,43.7,4.0
Sarajevo,2023-09-20,16.7,43.3,4.0
Mostar,2023-09-20,21.7,43.3,4.0
Sarajevo,2023-09-21,16.5,43.0,4.0
Mostar,2023-09-21,21.5,43.0,4.0
Sarajevo,2023-09-22,16.3,42.7,3.9
Mostar,2023-09-22,21.3,42.7,3.9
Sarajevo,2023-09-23,16.2,42.3,3.9
Mostar,2023-09-23,21.2,42.3,3.9
Sarajevo,2023-09-24,16.0,42.0,3.8
Mostar,2023-09-24,21.0,42.0,3.8
Sarajevo,2023-09-25,15.8,41.7,3.8
Mostar,2023-09-25,20.8,41.7,3.8
Sarajevo,2023-09-26,15.7,41.3,3.7
Mostar,2023-09-26,20.7,41.3,3.7
Sarajevo,2023-09-27,15.5,41.0,3.7
Mostar,2023-09-27,20.5,41.0,3.7
Sarajevo,2023-09-28,15.3,40.7,3.6
Mostar,2023-09-28,20.3,40.7,3.6
Sarajevo,2023-09-29,15.2,40.3,3.6
Mostar,2023-09-29,20.2,40.3,3.6
Sarajevo,2023-09-30,15.0,40.0,3.5
Mostar,2023-09-30,20.0,40.0,3.5
